"id","nama","nik","status_pasutri","status_kewarganegaraan","jenis_sewa","unit_number","metode_pembayaran","metode_lain","tanggal_checkin","waktu_checkin","tanggal_checkout","waktu_checkout","lama_menginap","komentar","user_email","diedit_oleh","created_at","classification"
"1","Faith Barton","5178954204070908","Menikah","WNI","Mingguan","C-1-13","Cash",NULL,"2024-06-20","20:22:00","2024-07-04","07:46:00","14",NULL,"Ollie.Wilderman@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2","Edmund Pfeffer","3219671108856742","Menikah","WNA","Harian","D-5-2","Kartu Kredit",NULL,"2023-02-19","05:33:00","2023-02-20","12:33:00","1",NULL,"Darrion_Wisoky41@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"3","Oscar Hansen","3582831012052287","Belum Menikah","WNI","Bulanan","B-25-17","QRIS",NULL,"2023-12-17","17:48:00","2024-03-16","09:02:00","90",NULL,"Kian24@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"4","Nathan Barton-Bode","3534442910807991","Belum Menikah","WNI","Bulanan","A-2-8","Others","gopay","2018-05-18","13:15:00","2018-10-15","12:45:00","150",NULL,"Tyree5@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"5","Richard Sauer","3396683107706646","Menikah","WNI","Harian","A-21-9","Kartu Debit",NULL,"2025-01-05","17:28:00","2025-01-05","22:28:00","0","Ditemukan alat suntik di tempat sampah","Keeley.Kuhic84@yahoo.com",NULL,"2025-12-08 19:13:06","tidak normal"
"6","Tommie Schroeder","3589001510679440","Belum Menikah","WNA","Bulanan","A-22-6","QRIS",NULL,"2022-03-06","18:21:00","2022-07-04","09:21:00","120",NULL,"Laverne.Schaefer@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"7","Mabel Corwin","3246345502872932","Belum Menikah","WNA","Mingguan","D-7-6","Kartu Debit",NULL,"2012-06-13","18:57:00","2012-07-04","08:51:00","21",NULL,"Vladimir58@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"8","Muriel Padberg-Koss","3215824710889032","Menikah","WNI","Harian","B-3-11","Cash",NULL,"2019-05-12","17:31:00","2019-05-15","12:17:00","3",NULL,"Jalon31@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"9","Geneva Denesik","5173744105871378","Belum Menikah","WNI","Mingguan","A-2-9","Kartu Kredit",NULL,"2018-09-14","19:56:00","2018-09-21","07:09:00","7",NULL,"Bell_Pouros-Dach2@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"10","Cecilia Kuhn","3234094709702794","Menikah","WNA","Mingguan","A-12-20","Kartu Kredit",NULL,"2023-02-12","17:35:00","2023-03-05","11:20:00","21",NULL,"Tyree5@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"11","Kristine Bergstrom","3490246403693256","Belum Menikah","WNI","Harian","C-22-1","Kartu Debit",NULL,"2023-09-17","15:00:00","2023-09-20","12:55:00","3",NULL,"Donavon77@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"12","Lynn Mayert","5142704611769286","Menikah","WNI","Harian","C-13-25","Others","linkaja","2010-09-28","14:08:00","2010-10-03","10:28:00","5",NULL,"pkj@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"13","Aaron Strosin","3469452812832016","Belum Menikah","WNI","Harian","D-8-8","Cash",NULL,"2013-05-28","14:27:00","2013-06-02","07:32:00","5",NULL,"Robyn48@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"14","Yolanda Greenholt","3455166401655526","Belum Menikah","WNI","Mingguan","A-10-9","Kartu Kredit",NULL,"2020-02-17","18:30:00","2020-03-09","10:04:00","21",NULL,"Percy.Steuber@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"15","Kathy Block","3178634805067441","Belum Menikah","WNA","Harian","A-1-5","Others","ovo","2023-06-23","16:33:00","2023-06-29","12:32:00","6",NULL,"Hortense.Crona@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"16","Jana Carroll","3168876201906180","Belum Menikah","WNA","Mingguan","B-23-17","Kartu Debit",NULL,"2015-11-12","14:30:00","2015-11-19","07:17:00","7",NULL,"Donavon77@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"17","Emilio Morissette","3413593003945867","Menikah","WNI","Harian","A-9-9","Kartu Kredit",NULL,"2023-08-01","20:27:00","2023-08-04","07:52:00","3",NULL,"Ollie.Wilderman@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"18","Nina Marquardt","3500375105708530","Belum Menikah","WNI","Bulanan","C-11-4","Others","ovo","2023-04-20","19:51:00","2023-09-17","07:39:00","150",NULL,"Bell_Pouros-Dach2@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"19","Alberta McDermott","3353094507936378","Menikah","WNA","Mingguan","C-25-20","Kartu Debit",NULL,"2011-04-18","14:44:00","2011-04-25","11:17:00","7",NULL,"Laverne.Schaefer@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"20","Eileen Hoeger","3253524907839085","Belum Menikah","WNI","Mingguan","B-20-28","QRIS",NULL,"2014-10-19","14:38:00","2014-10-26","11:34:00","7",NULL,"Felton.Schamberger@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"21","Sheryl Labadie","3318974907003039","Belum Menikah","WNA","Mingguan","C-14-15","QRIS",NULL,"2012-12-11","15:53:00","2012-12-18","07:05:00","7",NULL,"Ollie.Wilderman@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"22","Cristina Heller","3477525505679329","Menikah","WNI","Bulanan","D-9-18","Others","ovo","2023-09-19","15:56:00","2024-01-17","10:00:00","120",NULL,"Bell_Pouros-Dach2@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"23","Constance Schuppe","3176954709889927","Belum Menikah","WNA","Mingguan","C-17-11","Kartu Kredit",NULL,"2024-01-17","17:55:00","2024-01-24","09:34:00","7",NULL,"Rory.Hane-Hayes20@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"24","Denise Doyle","5184905510043312","Menikah","WNI","Harian","D-13-30","Cash",NULL,"2020-11-14","19:56:00","2020-11-16","11:58:00","2",NULL,"Donavon77@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"25","Lyle Veum","3574141907961226","Belum Menikah","WNI","Harian","D-25-10","Kartu Debit",NULL,"2025-02-15","16:40:00","2025-02-20","08:41:00","5",NULL,"Kian24@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"26","Edna Romaguera","3366574703730472","Menikah","WNI","Bulanan","B-15-28","Others","paylater","2023-01-19","19:57:00","2023-03-20","08:44:00","60",NULL,"Troy_Cruickshank@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"27","Lucy Kuhlman","3472305709919255","Menikah","WNA","Mingguan","D-7-21","Others","ovo","2024-12-14","18:22:00","2024-12-21","11:35:00","7",NULL,"Troy_Cruickshank@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"28","Hazel Kris-Langworth","3637985006064107","Belum Menikah","WNA","Harian","B-21-11","Kartu Debit",NULL,"2013-11-18","18:19:00","2013-11-24","09:22:00","6",NULL,"Kian24@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"29","Noel Rolfson","3140461505738950","Belum Menikah","WNA","Bulanan","D-10-15","Kartu Debit",NULL,"2017-01-11","13:21:00","2017-04-11","10:50:00","90",NULL,"Nicola22@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"30","Rhonda Bergstrom","3252846002702524","Menikah","WNA","Harian","B-6-20","QRIS",NULL,"2024-03-07","18:53:00","2024-03-13","08:41:00","6",NULL,"Percy.Steuber@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"31","Kristine Hudson","3583474602850049","Menikah","WNA","Bulanan","C-7-10","Cash",NULL,"2018-11-20","20:13:00","2019-03-20","08:56:00","120",NULL,"Mallory20@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"32","Dawn Waters","3295975803034732","Menikah","WNI","Bulanan","A-10-3","Others","gopay","2013-08-27","18:04:00","2013-09-26","08:01:00","30",NULL,"Ena_Hartmann34@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"33","Vincent O'Conner","5103562602799014","Belum Menikah","WNA","Bulanan","B-8-28","Others","gopay","2010-09-24","19:43:00","2010-10-24","11:54:00","30",NULL,"Ena_Hartmann34@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"34","Ira Corkery","3193760708959631","Menikah","WNA","Bulanan","C-7-27","Kartu Debit",NULL,"2019-08-29","16:53:00","2019-11-27","10:29:00","90",NULL,"Armani68@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"35","Derrick Denesik","3517792411962470","Menikah","WNA","Bulanan","D-7-21","Others","ovo","2024-11-29","20:29:00","2024-12-29","08:01:00","30",NULL,"Troy_Cruickshank@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"36","Jacqueline Purdy","3318005508044284","Belum Menikah","WNA","Mingguan","D-3-23","Cash",NULL,"2018-08-22","14:09:00","2018-09-12","09:58:00","21",NULL,"p3srs@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"37","Nellie Carroll","3580405601704838","Menikah","WNA","Mingguan","D-22-19","Others","paylater","2014-07-29","18:03:00","2014-08-19","08:34:00","21",NULL,"Seamus79@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"38","Angie Greenholt","3474314210063957","Menikah","WNA","Bulanan","C-24-3","Kartu Kredit",NULL,"2018-02-09","20:38:00","2018-03-11","07:23:00","30",NULL,"Felton.Schamberger@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"39","Adrian Schowalter","3626351105006623","Belum Menikah","WNA","Bulanan","C-15-11","Others","crypto","2011-07-04","15:28:00","2011-11-01","08:07:00","120",NULL,"Jeffrey_Olson@gmail.com",NULL,"2025-12-08 19:13:06","normal"
